,Total Upvotes,Time Stamp,Total Comments,Upvote Ratio,Submission #ID
571,15901,1481109006.0,318,0.55,5gzc7h
147,20971,1481110146.0,419,0.53,5gzeia
185,19661,1481112123.0,199,0.6,5gzifh
72,24331,1481113993.0,1450,0.56,5gzmot
838,14755,1481114189.0,141,0.71,5gzn4a
559,15943,1481120541.0,394,0.9,5h04i9
370,17435,1481123944.0,35,0.83,9jhj7m
305,18041,1481123947.0,57,0.8,5h0fcf
248,18562,1481123950.0,125,0.75,5h0fct
22,32201,1481126255.0,721,0.6,5h0nfh
200,19402,1481139457.0,198,0.68,5h1zlu
100,22639,1481140791.0,1185,0.58,5h24gg
296,18066,1481148428.0,128,0.58,5h2wqi
171,20210,1481160727.0,833,0.91,5h41qz
669,15456,1481193095.0,678,0.62,5h68ua
64,24885,1481200901.0,754,0.58,5h6p1g
762,15064,1481208013.0,409,0.76,5h78pb
391,17232,1481216140.0,425,0.65,5p4wq1
753,15103,1481220101.0,543,0.6,5h8egk
456,16690,1481237201.0,618,0.56,5ha4d6
203,19362,1481245036.0,468,0.55,5hatig
115,22023,1481247369.0,1733,0.62,5hb0cn
43,27235,1481294752.0,779,0.56,5he3p0
852,14674,1481303467.0,726,0.63,5hexpt
543,16080,1481325259.0,718,0.89,5hh0nz
829,14784,1481372974.0,539,0.59,5hjwqo
486,16500,1481374416.0,273,0.6,5hjzn7
789,14940,1481394342.0,559,0.88,5hlhji
187,19603,1481402406.0,926,0.59,5hm6zk
68,24528,1481426707.0,927,0.58,5ho4aq
120,21951,1481465747.0,432,0.63,5hq88s
690,15370,1481487066.0,384,0.89,5hs339
930,14404,1481545424.0,779,0.59,5hwbva
247,18567,1481577757.0,708,0.91,5hzc9l
123,21817,1481628795.0,1842,0.58,5i33zk
325,17879,1481634498.0,495,0.55,5i3ham
656,15515,1481640756.0,880,0.91,5i3yuc
982,14227,1481685441.0,510,0.91,5i88d6
910,14488,1481726372.0,375,0.93,5iaw9z
334,17808,1481809234.0,730,0.63,5ihk0r
655,15512,1481813702.0,235,0.68,5ihx3o
288,18104,1481840765.0,290,0.93,5ikk93
166,20418,1481852673.0,3422,0.87,5ill1f
175,19992,1481886961.0,786,0.57,5inqfb
576,15857,1481904192.0,636,0.8,5ip05n
523,16237,1481917504.0,1152,0.53,5iq9xx
509,16347,1481937594.0,156,0.89,5irzcl
709,15292,1481981625.0,276,0.89,5iuh5f
47,26679,1482104609.0,1385,0.57,5j35ym
875,14615,1482112415.0,499,0.6,5j3s3z
806,14867,1482175955.0,3978,0.95,5j8dhb
103,22588,1482186831.0,1254,0.94,5j9h7i
267,18361,1482196639.0,1089,0.94,5jaczv
548,16040,1482264283.0,878,0.71,5jfeqo
162,20499,1482281251.0,1060,0.56,5jgz65
933,14398,1482328761.0,315,0.82,5jk0zs
95,22778,1482331326.0,1056,0.62,5jk8ai
313,17972,1482354844.0,549,0.66,5jmgcz
3,37272,1482443156.0,722,0.64,5jt9xs
246,18566,1482626818.0,809,0.57,5k60jd
639,15558,1482681516.0,165,0.93,5k8sp8
482,16512,1482841883.0,445,0.62,5kjikf
769,15036,1482874308.0,377,0.94,5km8pm
428,16982,1483016927.0,705,0.63,5kwq24
805,14873,1483033543.0,945,0.9,5ky32l
708,15290,1483190365.0,861,0.52,5l9mk3
987,14213,1483310772.0,318,0.94,5lhozo
237,18736,1483460475.0,1301,0.95,5lsrob
198,19429,1483476882.0,573,0.92,5luflu
144,21057,1483571113.0,1003,0.72,5m2j10
588,15795,1483582719.0,524,0.71,5m3lx9
195,19475,1483620907.0,645,0.96,5m682a
349,17644,1483628467.0,741,0.96,8zcc7i
218,18998,1483628767.0,405,0.7,5m6utn
278,18197,1483632672.0,252,0.78,5m78b4
663,15490,1483641604.0,1195,0.96,5m85o6
590,15770,1483731488.0,519,0.58,5mfnp2
350,17630,1483804519.0,477,0.95,5m6tsk
623,15606,1483883428.0,173,0.61,5mqwyi
781,14975,1483981564.0,639,0.89,5myu6x
330,17848,1484095755.0,1888,0.85,5n8yd9
328,17853,1484154568.0,1844,0.53,5ndcq4
402,17137,1484172075.0,766,0.91,5nf612
929,14412,1484243591.0,1692,0.92,5nktdn
462,16629,1484336283.0,2020,0.93,5nsqxs
969,14270,1484353527.0,32,0.68,5nufbf
985,14225,1484353529.0,51,0.59,5nufbs
160,20636,1484426318.0,247,0.6,5nzmfe
906,14507,1484441575.0,413,0.54,5o10oa
287,18114,1484449502.0,498,0.61,5o1nnm
454,16713,1484470565.0,1037,0.58,5o311i
528,16174,1484530006.0,263,0.6,5o7v8q
404,17129,1484571399.0,966,0.52,5oaou9
720,15215,1484578338.0,329,0.63,5ob7hl
196,19466,1484587665.0,1694,0.6,5oc38g
460,16642,1484597194.0,393,0.65,5od3k8
917,14456,1484680675.0,1500,0.6,5ok2am
132,21517,1484756798.0,1791,0.57,5oqb98
680,15416,1484838247.0,390,0.73,5ox12y
125,21714,1484846235.0,24,0.78,5oxtst
121,21906,1484847508.0,19,0.78,5oxye2
96,22732,1484847804.0,13,0.77,5oxzgp
38,27842,1484847843.0,237,0.57,5oxzll
36,29043,1484848262.0,11,0.72,5oy196
108,22407,1484848288.0,10,0.77,5oy1dh
65,24815,1484848650.0,10,0.75,5oy2qa
21,32305,1484848920.0,27,0.66,5oy3rw
7,35478,1484848953.0,94,0.71,5oy3wa
23,31337,1484848956.0,163,0.57,5oy3wv
34,29272,1484848958.0,47,0.65,5oy3x6
33,29473,1484849015.0,1650,0.56,5oy456
11,34463,1484849049.0,58,0.67,5oy49y
8,35064,1484849166.0,33,0.67,5oy4qx
16,33529,1484849174.0,39,0.65,5oy4sa
17,32970,1484849238.0,23,0.65,5oy51l
19,32723,1484849400.0,67,0.62,5oy5nf
24,31130,1484849499.0,58,0.62,5oy605
10,34713,1484849810.0,68,0.64,5oy752
26,30475,1484849816.0,112,0.56,5oy75l
551,16006,1484849848.0,14,0.82,5oy79h
661,15497,1484849907.0,4,0.83,5oy7i1
50,26235,1484849999.0,163,0.54,5oy7vt
949,14335,1484850008.0,13,0.83,5oy7wu
30,29815,1484850084.0,80,0.73,5oy88x
18,32856,1484850110.0,15,0.72,5oy8cn
148,20963,1484850111.0,22,0.78,5oy8cz
57,25214,1484850262.0,10,0.74,5oy8xf
472,16551,1484850308.0,11,0.82,5oy94z
777,15007,1484850347.0,4,0.83,5oy9b0
860,14665,1484850374.0,7,0.83,5oy9ec
15,34167,1484850407.0,59,0.7,5oy9iq
189,19557,1484850410.0,13,0.8,5oy9jd
99,22654,1484850446.0,345,0.53,5oy9of
14,34273,1484850461.0,122,0.58,5oy9qt
6,35557,1484850500.0,31,0.71,5oy9w4
92,22836,1484850509.0,10,0.77,5oy9xi
